Account|Type|Balance b/f|Balance c/f|Balance date|TB_Movement|GL_Movement|difference
ACB00095|BS|655.46|-49423.03|20161231|-50078.49|-50078.49|0.0
ACB00097|BS|-655.46|21164.16|20161231|21819.62|21819.62|0.0
ACB00099|BS|774.98|65302.13|20161231|64527.15|64527.15|0.0
ACB00101|BS|-774.98|91457.32|20161231|92232.3|92232.3|0.0
ACB00102|BS|568.08|45217.1|20161231|44649.02|44649.02|0.0
ACB00103|BS|-568.08|-62315.53|20161231|-61747.45|-61747.45|0.0
ACP00001||||nan||-3817.92|
ACP00002|P&L|-818.43|4502.66|20161231|5321.09|5321.09|0.0
ACP00004|P&L|798.87|32980.15|20161231|32181.28|32181.28|0.0
ACP00005|P&L|-798.87|19061.05|20161231|19859.92|19859.92|0.0
ACP00007|P&L|583.19|10533.19|20161231|9950.0|9950.0|0.0
ACP00009|P&L|-583.19|-13288.8|20161231|-12705.61|-12705.61|0.0
ACP00010|P&L|759.54|25226.19|20161231|24466.65|24466.65|0.0
ACP00011|P&L|-759.54|-20761.98|20161231|-20002.44|-20002.44|0.0
ACP00013|P&L|766.18|289.7|20161231|-476.48|-476.48|0.0
ACP00014|P&L|-766.18|-11616.26|20161231|-10850.08|-10850.08|0.0
ACP00015|P&L|693.1|28124.42|20161231|27431.32|27431.32|0.0
ACP00016|P&L|-693.1|14366.6|20161231|15059.7|15059.7|0.0
ACP00017|P&L|654.01|24449.74|20161231|23795.73|23123.06|672.6699999999983
ACP00018|P&L|-654.01|19530.5|20161231|20184.51|20184.51|0.0
ACP00019|P&L|700.85|-8094.19|20161231|-8795.04|-8795.04|0.0
ACP00020|P&L|-700.85|-3439.84|20161231|-2738.99|-2738.99|0.0
ACP00021|P&L|610.36|-6188.29|20161231|-6798.65|-6798.65|0.0
ACP00024|P&L|-610.36|6626.49|20161231|7236.85|7236.85|0.0
ACP00025|P&L|656.68|-1683.41|20161231|-2340.09|-2340.09|0.0
ACP00027|P&L|-656.68|8102.21|20161231|8758.89|8758.89|0.0
ACP00028|P&L|623.43|23055.92|20161231|22432.49|22432.49|0.0
ACP00029|P&L|-623.43|-4748.23|20161231|-4124.8|-4124.8|0.0
ACP00030|P&L|686.91|7512.73|20161231|6825.82|6825.82|0.0
ACP00031|P&L|-686.91|13096.42|20161231|13783.33|13783.33|0.0
ACP00032|P&L|676.53|-7.65|20161231|-684.18|-684.18|0.0
ACP00034|P&L|-676.53|-11196.74|20161231|-10520.21|-10520.21|0.0
ACP00035|P&L|646.08|18005.2|20161231|17359.12|17359.12|0.0
ACP00036|P&L|-646.08|34706.14|20161231|35352.22|35352.22|0.0
ACP00038|P&L|486.8|6790.53|20161231|6303.73|6303.73|0.0
ACP00040|P&L|-486.8|-7840.61|20161231|-7353.81|-7353.81|0.0
ACP00041||||nan||-14365.77|
ACP00043|P&L|-833.09|5761.43|20161231|6594.52|6594.52|0.0
ACP00044|P&L|0.0|-25367.79|20161231|-25367.79|-25367.79|0.0
ACP00045|P&L|0.0|1414.45|20161231|1414.45|1414.45|0.0
ACP00046||||nan||1825.79|
ACP00047|P&L|0.0|-11858.93|20161231|-11858.93|-11858.93|0.0
ACP00048|P&L|0.0|-3267.86|20161231|-3267.86|-3267.86|0.0
ACP00050|P&L|0.0|-35812.54|20161231|-35812.54|-35812.54|0.0
ACP00051|P&L|0.0|6734.99|20161231|6734.99|6734.99|0.0
ACP00052|P&L|0.0|31179.95|20161231|31179.95|31179.95|0.0
ACP00053|P&L|0.0|-51814.44|20161231|-51814.44|-51814.44|0.0
ACP00055|P&L|0.0|1797.86|20161231|1797.86|1797.86|0.0
ACP00056|P&L|0.0|-29435.21|20161231|-29435.21|-29435.21|0.0
ACP00057|P&L|0.0|39722.87|20161231|39722.87|39722.87|0.0
ACP00059|P&L|0.0|16068.08|20161231|16068.08|16068.08|0.0
ACP00060|P&L|0.0|-40085.14|20161231|-40085.14|-40085.14|0.0
ACP00062|P&L|0.0|24864.23|20161231|24864.23|24864.23|0.0
ACP00063|P&L|0.0|25137.62|20161231|25137.62|25137.62|0.0
ACP00064|P&L|0.0|-28982.84|20161231|-28982.84|-28982.84|0.0
ACP00065|P&L|0.0|-8042.01|20161231|-8042.01|-8042.01|0.0
ACP00066|P&L|0.0|-84.02|20161231|-84.02|-84.02|0.0
ACP00067|P&L|0.0|25732.13|20161231|25732.13|25732.13|0.0
ACP00069|P&L|0.0|962.06|20161231|962.06|962.06|0.0
ACP00070|P&L|0.0|17595.16|20161231|17595.16|17595.16|0.0
ACP00071|P&L|0.0|-28547.84|20161231|-28547.84|-29260.31|712.4700000000012
ACP00073|P&L|0.0|-5792.42|20161231|-5792.42|-5792.42|0.0
ACP00074|P&L|0.0|-11972.8|20161231|-11972.8|-11972.8|0.0
ACP00078|P&L|0.0|-36882.3|20161231|-36882.3|-36882.3|0.0
ACP00079|P&L|0.0|-23006.39|20161231|-23006.39|-23006.39|0.0
ACP00080|P&L|0.0|4386.03|20161231|4386.03|4386.03|0.0
ACP00081|P&L|0.0|-16279.96|20161231|-16279.96|-17017.89|737.9300000000003
ACP00083|P&L|0.0|11418.31|20161231|11418.31|11418.31|0.0
ACP00085|P&L|0.0|-20416.26|20161231|-20416.26|-20416.26|0.0
ACP00086||||nan||-7263.37|
ACP00088|P&L|0.0|25458.57|20161231|25458.57|25458.57|0.0
ACP00089|P&L|0.0|-26888.54|20161231|-26888.54|-26888.54|0.0
ACP00092|P&L|0.0|14289.03|20161231|14289.03|14289.03|0.0
ACP00094|P&L|0.0|31713.09|20161231|31713.09|31713.09|0.0
ACP00096|P&L|0.0|-6483.86|20161231|-6483.86|-6483.86|0.0
ACP00098|P&L|0.0|9744.94|20161231|9744.94|9744.94|0.0
ACP00100|P&L|0.0|-20760.69|20161231|-20760.69|-20760.69|0.0
ACP00104|P&L|0.0|-56260.7|20161231|-56260.7|-56260.7|0.0
ACP00105|P&L|0.0|-6414.84|20161231|-6414.84|-6414.84|0.0
ACP00106|P&L|0.0|23672.24|20161231|23672.24|23672.24|0.0
ACP00107|P&L|0.0|6818.51|20161231|6818.51|6818.51|0.0
ACP00108|P&L|0.0|11510.31|20161231|11510.31|11510.31|0.0
ACP00109|P&L|0.0|-9345.87|20161231|-9345.87|-9345.87|0.0
ACP00110|P&L|0.0|-52613.0|20161231|-52613.0|-52613.0|0.0
